DEBKGID;NNID;NAME;RS;OBA;KFZ;GEOLA;GEOBR;GKRE;GKHO;UTMRE;UTMHO
DEBKGDL20000E0SD;DEBKGGND0000194H;Landsberg am Lech;09181;AX_KreisRegion (Landkreis);LL;105655;480127;3645428.2745293933;5322528.385564303;645294.3197163382;5320838.638547669
DEBKGDL20000DZVT;DEBKGGND00001DK1;Landshut;09274;AX_KreisRegion (Landkreis);LA  MAI  MAL  ROL;122053;482709;3747725.707871049;5373724.446250039;747550.5548347093;5372013.758263297
DEBKGDL20000E5OT;DEBKGGND00001BW0;Landshut;09261;AX_KreisRegion (Kreisfreie Stadt);LA;120932;483219;3733332.798340552;5382702.176968374;733163.4769718328;5380987.886431164
DEBKGDL20000002T;DEBKGGND00001CS6;Leer;03457;AX_KreisRegion (Landkreis);LER;073003;531349;3399960.521120235;5900860.5560085615;399929.27577330754;5898942.066035524
DEBKGDL20000002S;DEBKGGND00001JFI;Leipzig;14713;AX_KreisRegion (Kreisfreie Stadt);L;122241;512018;3735438.4418855957;5694703.158162087;735270.451857264;5692863.110537988
DEBKGDL20000HFQY;DEBKGGND00001C0D;Leipzig;14729;AX_KreisRegion (Landkreis);L  BNA  GHA  GRM  MTL  WUR;123557;511317;3751493.9408200476;5682431.883825596;751319.3332999283;5680596.608878794
DEBKGDL20000E1YY;DEBKGGND00001BZM;Leverkusen;05316;AX_KreisRegion (Kreisfreie Stadt);LEV  OP;065847;510157;3358364.226127218;5657197.175936874;358346.07614109176;5655375.509080669
DEBKGDL20000E2H5;DEBKGGND00001HK7;Lichtenfels;09478;AX_KreisRegion (Landkreis);LIF  STE;110701;500634;3651498.45690492;5554716.461770535;651363.2526081731;5552933.314781343
DEBKGDL20000E18L;DEBKGGND00001CB3;Limburg-Weilburg;06533;AX_KreisRegion (Landkreis);LM  WEL;081158;502539;3443192.714423751;5588254.081459736;443140.6978918871;5586458.92768493
DEBKGDL20000E3SF;DEBKGGND00001E4F;Lindau (Bodensee);09776;AX_KreisRegion (Landkreis);LI;095258;473619;3566455.4111355473;5274469.155274606;566353.5323523569;5272799.111574208
DEBKGDL20000E6AS;DEBKGGND00001HUC;Lippe;05766;AX_KreisRegion (Kreis);LIP;085703;515853;3496697.188660519;5760831.699598152;496625.45565178926;5758967.496502635
